1000013824 tokens | train_loss=3.5626 | val_loss=3.4314
2000011264 tokens | train_loss=3.2267 | val_loss=3.2416
3000008704 tokens | train_loss=2.9618 | val_loss=3.1829
4000006144 tokens | train_loss=2.4376 | val_loss=3.1825
5000003584 tokens | train_loss=3.1509 | val_loss=3.1571
6000001024 tokens | train_loss=3.2209 | val_loss=3.1306
7000014848 tokens | train_loss=3.2792 | val_loss=3.1280
8000012288 tokens | train_loss=3.4653 | val_loss=3.0973
9000009728 tokens | train_loss=3.6034 | val_loss=3.0650
10000007168 tokens | train_loss=2.9847 | val_loss=3.0938
11000004608 tokens | train_loss=2.8896 | val_loss=3.0741
12000002048 tokens | train_loss=2.8312 | val_loss=3.0639
13000015872 tokens | train_loss=3.1100 | val_loss=3.0718
14000013312 tokens | train_loss=3.6547 | val_loss=3.0710
15000010752 tokens | train_loss=3.1143 | val_loss=3.0341
16000008192 tokens | train_loss=3.2858 | val_loss=3.0498
17000005632 tokens | train_loss=3.2796 | val_loss=3.0543
18000003072 tokens | train_loss=3.1616 | val_loss=3.0744
19000000512 tokens | train_loss=2.8146 | val_loss=3.0474
20000014336 tokens | train_loss=3.3666 | val_loss=3.0496
21000011776 tokens | train_loss=2.6107 | val_loss=3.0367
22000009216 tokens | train_loss=3.1332 | val_loss=3.0447
23000006656 tokens | train_loss=3.0506 | val_loss=3.0084
24000004096 tokens | train_loss=3.1456 | val_loss=3.0005
25000001536 tokens | train_loss=2.6747 | val_loss=3.0372
26000015360 tokens | train_loss=2.4499 | val_loss=3.0220
27000012800 tokens | train_loss=3.3166 | val_loss=3.0322
28000010240 tokens | train_loss=2.7175 | val_loss=3.0385
29000007680 tokens | train_loss=3.1642 | val_loss=3.0051
30000005120 tokens | train_loss=3.0846 | val_loss=2.9951
31000002560 tokens | train_loss=3.0001 | val_loss=2.9953
32000000000 tokens | train_loss=2.6416 | val_loss=2.9890
33000013824 tokens | train_loss=3.0376 | val_loss=2.9741
34000011264 tokens | train_loss=2.5793 | val_loss=2.9683
35000008704 tokens | train_loss=2.7702 | val_loss=2.9584
36000006144 tokens | train_loss=3.7741 | val_loss=2.9701
37000003584 tokens | train_loss=2.6777 | val_loss=2.9655
38000001024 tokens | train_loss=2.9706 | val_loss=2.9693
39000014848 tokens | train_loss=3.0719 | val_loss=2.9473
40000012288 tokens | train_loss=2.6532 | val_loss=2.9357
41000009728 tokens | train_loss=2.9907 | val_loss=2.9244
42000007168 tokens | train_loss=2.7360 | val_loss=2.9279
43000004608 tokens | train_loss=2.9415 | val_loss=2.9339
44000002048 tokens | train_loss=3.0454 | val_loss=2.9160
45000015872 tokens | train_loss=2.7329 | val_loss=2.9286
46000013312 tokens | train_loss=2.7188 | val_loss=2.8978
47000010752 tokens | train_loss=2.9568 | val_loss=2.8746
48000008192 tokens | train_loss=2.8029 | val_loss=2.8897
49000005632 tokens | train_loss=2.9848 | val_loss=2.8740
50000003072 tokens | train_loss=2.5748 | val_loss=2.8961
51000000512 tokens | train_loss=3.0532 | val_loss=2.8479
52000014336 tokens | train_loss=3.2834 | val_loss=2.8438
53000011776 tokens | train_loss=3.1103 | val_loss=2.8740
54000009216 tokens | train_loss=2.5673 | val_loss=2.8423
55000006656 tokens | train_loss=3.0910 | val_loss=2.8482
56000004096 tokens | train_loss=2.5581 | val_loss=2.8374
57000001536 tokens | train_loss=3.0167 | val_loss=2.8303
58000015360 tokens | train_loss=2.7491 | val_loss=2.8042
59000012800 tokens | train_loss=2.6216 | val_loss=2.7972
60000010240 tokens | train_loss=2.9135 | val_loss=2.7876
61000007680 tokens | train_loss=2.7647 | val_loss=2.7907
62000005120 tokens | train_loss=3.1568 | val_loss=2.7779
63000002560 tokens | train_loss=2.3365 | val_loss=2.7378
64000000000 tokens | train_loss=2.7631 | val_loss=2.7484
65000013824 tokens | train_loss=2.5840 | val_loss=2.7075
66000011264 tokens | train_loss=3.0250 | val_loss=2.7501
67000008704 tokens | train_loss=2.6824 | val_loss=2.7338
68000006144 tokens | train_loss=2.5580 | val_loss=2.7127
69000003584 tokens | train_loss=2.9240 | val_loss=2.7181
70000001024 tokens | train_loss=2.9497 | val_loss=2.7179
71000014848 tokens | train_loss=2.6640 | val_loss=2.7321
72000012288 tokens | train_loss=2.3160 | val_loss=2.6948
73000009728 tokens | train_loss=2.6990 | val_loss=2.6921
74000007168 tokens | train_loss=2.9807 | val_loss=2.6918
75000004608 tokens | train_loss=2.5924 | val_loss=2.7020
76000002048 tokens | train_loss=2.6067 | val_loss=2.6581
77000015872 tokens | train_loss=2.8405 | val_loss=2.6643
78000013312 tokens | train_loss=2.3602 | val_loss=2.6515
79000010752 tokens | train_loss=2.7439 | val_loss=2.6349
80000008192 tokens | train_loss=2.4810 | val_loss=2.6378
81000005632 tokens | train_loss=2.5070 | val_loss=2.6543
82000003072 tokens | train_loss=2.7467 | val_loss=2.6478
83000000512 tokens | train_loss=2.2680 | val_loss=2.6612
84000014336 tokens | train_loss=2.5163 | val_loss=2.6476
85000011776 tokens | train_loss=2.4900 | val_loss=2.6440
